DW_LOCALIDADE;id_endereco;nm_cidade;uf_estado;sg_pais
28b5c1631ecc7943376d69183d6ac553a9b04d2f41b47054c61ccda435de1072;10008638;Milesburg;PA;US
2d1b2ad4765cd30ce568efac942a95e45563f688173c7e7de7a3df2d7bb122f2;10020914;Calhoun;LA;US
aa28d50639e26669db5daf099311f5a736826cb9e5ec96c6ac04149cff4358e1;10009631;Corona;CA;US
989116c8fcab6d31e06c6d31d072123de81d4fc60681ca34050a96dfa9baaeb7;10025032;Montreal;QU;CA
949e117f30998aafafe9b28cb1f510340e27696d7d9fbd70d10a56f706a8795e;10025814;Houston;TX;US
a4e3ceaffcb0fa66c4d6cb347163fdca3d1cced7e72538b8ad7621d6ce9348a3;10010698;Gardena;CA;US
4690b822057b075bbfea16f20cf4b5a2f81260a89ebfc95092e9748f3ac0bec5;10026581;Savannah;GA;US
adc11afc0336f9d3c5098bb48176c7c87f4a86408f55c73417cb7f5ac3dde9ed;10002765;Hialeah;FL;US
7716b8ea2bf2c6dd8834289922397e709329efec03f88e2c829e6193b14f9e3d;10009633;\"\";"";UK
1b5d38690b7b524a4c9ee3dae690411044f04e688dac3bd5fec745d4638272d1;10023509;Tampa;FL;US
ecc545ffddd31244c9a23171a45d779d52ea35a115cf357973e21cdf47e76a19;10025021;Depere;WI;US
a406508ae139a66b369e50b542d589212d85dee42b1877fd4409990b7d57c819;10006037;Miami;FL;US
524c915f13f9093db81dfe598a4825d089faf52bc13daccc8cdac5186d0aa0a7;10026081;Bremen;"";UK
6e33864759c383fa81e7537ea03853824c611d2771a8409f169e9a31f7ce6a96;10010923;Seocho-GU;"";AU
8bbba48d5dd95dca2cf906e8f2796b5113c0c93668843e693f47ee3468b16ad5;10024541;Bedford;OH;US
bd12f25f50c20de8b814791bee037f01dcf39d787fc2064f87ef71266b73f578;10025304;\"\";"";UK
137647c34bc81e0437f4975d9c293784614dea5c9c8e9b7b7b790429e7c87896;10000471;Jeddah;"";AU
a0c82c25375efa2eeda6ad262a04ca7deee70e0a60844cb23fc20feee3a389c9;10013472;Indianapolis;IN;US
15fb8e0a8eb18c3b1901110ed4b49adf6bd4d8755deaae5ba55a46d315b4a913;10022434;Placentia;CA;US
46fcfb2e3dfd9d237b9996b8fa3a815cc3317c362e068fdc64d70c07947e4806;10012715;Exeter;PA;US
da8d8128053d6813f268b0323747a0d417dd4ad092cb180feabb96ac7f3cd253;10022750;Watervliet;MI;US
ab65ea17bfe1a7c690fe1934e2313a4dc2bae26f177a5b43f29664f8b3976719;10022249;Shelby;NC;US
48cd8096f14ed642d40556e673a375d6ad8526a568b157ea7320f3c0df71c245;10012226;Troy;MI;US
26033e7c99495d8b158c73024266575f987f0a2a6b2b3be34fba4cd9616a858f;10021412;Clackamas;OR;US
84fd789c66a4f6ca99b2f322fe57f5ba3f5c2e0758e171de9c256da3b2ee8750;10004516;Lighthorne Warwick;"";UK
0ac27caa4f118f44e9b7730aecdde9c1b5b998b6cabd6a840c04cede0e6f5c9e;10016045;Monroe;WI;US
9fe9b04181e7338d6771cf45d69a759760a43de8fb5d6ed1ff739a81ea28fe96;10019900;Sacramento;CA;US
31de208b4a117fc93aa9a6f9ff8884a2660a7fdc041da2ab49627e660c7a7c56;10027348;Tampa;FL;US
75a450f53af5a91f7ebcb2824fa47cf343d1e1d8a74b75bb6eda5a7f8e7ae85f;10023022;Surrey;BC;CA
ea54cce8c422a8e0b5ffcfbbdd12ae0be1e5fc67b47fde15f7968489fd4d21eb;10024009;Tulsa;OK;US
40bd1a53c3b78cdf8eeb89cf61317fcb13a2ac42ec04c1b6fb66b59f10da4ebc;10020639;Tulsa;OK;US
5753afa139eca5b1e43888feeed9a6886af622bb73a1d566a54343e219b892ed;10007564;Cleveland;TX;US
e79d4eba645a2c65e85ee3d38f8a57bb53b6a1f47a0a10e5b97d87cf535c8372;10024260;Spokane;WA;US
865ef0860b713e13ab56a5453306bbfa398b883bd670fb416001873a08e3f996;10024016;Kanagawa;"";AU
3366db7510b6808d61fefe23a599eca41f1f9b630c253f892d07576ccbb16495;10026839;Greenwood;MS;US
cec2c49cfe9479ced4ddab660c75606dfa04ebd65e96afa7d563018493fb4995;10025495;Birmingham;AL;US
2a1967206d15df8983c8f8842f73c505ffa75c815402daf1ae893ded91545803;10020915;McHenry;IL;US
2e16913375c60f21e79f497b4dc032023427c7fe7d6a83265f2c63abb449bb60;10019665;Hammond;IN;US
f64282b12d121d2379d9bc17872f1c30b892f6b9f962997d29b3e97bc827cce5;10007120;Rexburg;ID;US
646bd04f0973bd611322ee5f0de352537d8dce358a2fc0b0e19437e3db0923cb;10013232;Milwaukie;WI;US
771815c5283b5ad6131c768caa49990d76bfa439c709651260e8a43127aee312;10021422;Brea;CA;US
4abbab24cf0fa9ae823f52ab34c30134e584f9c5e1b737e17eb3f4c549768854;10025039;Mentor;OH;US
9f3c34a75d5a7440c5679cc2f7c4074e06079c4800c87b5c1f65ff6b89cbe0b3;10019400;Valparaiso;IN;US
50de5c1636caba6f5aa361c0e87abf1bce69a22341cd22608a30ce3a9112ac9d;10000481;Chicago;IL;US
fc59acaf9033df3a7917ddc000f38b64dd20eed014000b90448c8ca6b76afa2b;10012422;Saginaw;AL;US
19102ed0d4309e3d4dcf0d61a285792bd667349d3c262f54493e0664d70a0fba;10007355;Amarillo;TX;US
5248784c0bf57618792bdf51a09d8ec14c291eec442d9de6da8c535d07bd8262;10025049;Milwaukie;OR;US
2a9d6a0e415e6c32a8d9b82fabea121f1532c4dc2e586043b0c35cbe5e77dbc8;10008593;Highland;IL;US
53f8fdbf539758ce89a5593cdc6128d1656638ebf1150464c93029d03c6ec46e;10009156;Attica;IN;US
1a6075ab809c332574e007eec06cbe95e9a81f89a99d91415f437eeffded187d;10007591;FIN 00710;"";UK
c23f6cc98b32781b66886af95545f245ce7712040b8a760b72eae30d148e1f35;10025248;Kent;WA;US
939d939ae3221306bc9009ce7978935be392be204aca2f9ac69363cd01128278;10014047;Fresno;CA;US
16e4e1b69fe80a008e67ddcda062492a44ea2800489dcd395e6c64f0c9f67c14;10025769;Redding;CA;US
b4e6f5b416d7281042ae4ce4d449d2800865da72f65d3b522457dad339911869;10005006;Boise;ID;US
3ee5ddf9f1882f7b180ae8684a01b6c64e6f00ad2cbb32caafd79169a5d07cb1;10025022;West Midlands;"";UK
0f8f5a7b36a04b56599469656b985965bee987355d98e05a69fe0608868ddaa9;10025264;Tuscon;AZ;US
2e28126255c88a1731da32f3eb869075af4a90cd03a8b4b45cb3571ee3676515;10007123;Little Rock;AR;US
2300e3c9395ea6af117d0c1f3b2a9b6d310de831015b933d6cddaf0ce65d9c14;10002526;EE 0026 Tallinn;"";UK
7a7e4edb2a18b60beca519c90d619534fa35c3aa2a5ede98879cc5a008368d93;10000480;Phoenix;AZ;US
cfce68ddd510d4c4ba7a192cc598b9de848257062a113ca5b4eb4b6ffdd6c1dd;10020393;Fort Collins;CO;US
4736f5892d57c35cb9d8665995b54548a1d1ce6aaebd0b09e3be2632f0a86748;10020193;\"\";"";UK
f9fd76a5338ce16f15de70b61891c7562c0ef89ab61637bf4589a8f8d19de0b7;10009657;Lewiston;ME;US
8290c0b5cf3ba68b68913a9369982efe2ce54d7c9e5e1b9af7a6345aba4ed338;10022746;A 5102 Anthering;"";UK
01bf630371e5b0cd5f02c359c9b6a9442ff32b4adeb870ca6837c5c0497e2e12;10016564;Traverse City;MI;US
80c5a125493021661d6beff71bed7cdcd7a2ebb54676c8d4f98735f69f4fc4cc;10018628;Tigard;OR;US
52cce8d06e46aa4c9c0274335a67089cd48e92af64094065c5e04bcaf4aef59b;10025758;Oklahoma City;OK;US
5ddc0a1d91be3d251d3c1870d3d4d8cab53d8a0dc617a3995346579f3105ed28;10010974;Chippewa Falls;WI;US
58dc10aeddb1fbd0afb90d4adf37d07f9d47a4fcc6620d77ee6179be47665f43;10018363;Panama Rep De Panama;"";IR
f8fe19d8f2fe4a35fc0908b15c93d12dce2ae4a12afbd381b5690a39c12fb347;10022470;Ormond Beach;FL;US
453a4315f4306f72c2188540279297e5c310af2e0d9e14ed2c223da1e738e33b;10020445;Rapid City;SD;US
23bcf12884294e5629fffda30d57eb354457ecb235c067a05c8c6defee4b584f;10020684;Montgomery;AL;US
e34cafe5fccfec56d873d00cbbbb6473d977a8d40f692dc43a1ff8835ce8a012;10025288;Furstentum;"";AU
6372307b6bc1668e0d968bff28fc8d5cc7496c818a5e945d6996d4451792a22a;10024006;Columbiana;OH;US
a5685027ffe6c9c2a9fb26d18154b6ed165b94ee67e39a6b8d49b3592a877873;10025247;Pittsburgh;PA;US
abb5f5d28279b0aafa759fc892ac5fef4980b978ad1a4c37f053c4c0af594eac;10024003;Benicia;CA;US
0505449366c1a8ffd864763d7ad5760b97c9bfdfa4a6c8aa87e096cc1bf004f0;10018871;Livonia;MI;US
eee213de9c91dc561a63dc106ba3a7a1d734ef874e4d52816c2567a069f0e482;10023524;Clemson;SC;US
d1db2de8832d5612be816f75b2dd2d08f34e85d2e9e8e3edd5fdc625ed0bded7;10021145;Brookhaven;MS;US
b80c5419eed7a8791399561819e05cab6c577607cfa5ac44a03786d49e244111;10022678;Richmond;VA;US
c910f3fbbf1ef62eb7f32162f0a1e051d34d1260ce81c9fdd7eddeadd68fc802;10009679;Meridian;MS;US
44a85630ed2d64b11768b76b8dc5d005e319604abed5eb1113e757b40d28c646;10016303;Buffalo;NY;US
b779b742bbfc77188e548372b293d5500e7251bab4ed870da508777f1af00efb;10000455;Huntington Beach;CA;US
ae7a3213558f6b402a741cb8f9de16e2368006c7512cb91a9fdedaf3b873af6c;10011198;Framingham;MA;US
2819f577d04ca72467e4f65f221fc261d501ffa36a10b1877e3b0de55fa6cfd7;10025252;Elkhart;IN;US
495f094229e1f204873920b95273b78406733743f0d99fd2cd48bfd4eb9060b0;10014803;Grand Rapids;MI;US
426dda749e7bb3317a5afef618e4f455773b50037a2780f3e545c2eee486fab6;10022725;Norcross;GA;US
6b45d2a08c683c18163abe8ccd71808cdbc1ae2b24ff494e6bf7323b78861917;10002501;\"\";"";UK
65d1233ea9cf625f6f2a8ed7c7f90de5019c703f9a37c46ceca0c73c03e05a68;10011521;Okolona;MS;US
d35852ba67162a93186175f9953ce868c29753cbfe06345781f0183265b8ccac;10019897;El Paso;TX;US
65e71baaf1940ef0ffdea30d6336cb697decfdbf0c524203b65f1f96878af6bc;10020663;Sparks;NV;US
c6c19542ce49b72e71a82d87835315ea69c9b59d4adf220db8260334a4583730;10023516;Miami;FL;US
29b13b620ef5eb8af74d1a5dd4ead87e6745988b7796126939e0720ec9c21197;10006805;Miami;FL;US
a31d971550dd7cb1c99630c7e6992ebd65763ebec7e64a2bd5bbaaadf76885d6;10005043;San Jose;"";UK
ca129a12d777fc81a3ab2ede8e8ebf455c1c5dccb8333ad9edff4bb2aba30c37;10023471;Odessa;TX;US
a7cff9be56684bfdc2e85efb505472fe376eb5226626dbd329543b5a1f5999c2;10025250;Ooltewah;TN;US
e3ee2058d7647aa402fca136929554f840750f7b7ab7dcba830ba07e3c300923;10027370;Madrid;"";UK
8dd2f7dc223639c5e3a541479f07e3d009080d634778fbbe75535cd01e2808f6;10007577;Stewartsville;NJ;US
82761fd528ba0b5c601a19287ae8174c035660c21ff8a23ff7fec4a13a458b1d;10025034;Corona;CA;US
6a5d29bed8b59f9985ee0e48b4c5738f3730921858c35dc8bedd4ec232abf129;10019410;Edmonton;AB;CA
a119db18afe4aa1813de51ba37f910e98bf7d9f387723040ff0c1cb629c10640;10000456;Edmonton;AB;CA
4fe6ab0f6f803d344fea36712487cc938b59f31781a06af73f82f9931f5ebdca;10018885;Pocatello;ID;US
02d23e2da6e785be2991ba622ba5aad678ad6796140adb3f5a29d51f043aca34;10022764;Ocala;FL;US
81eb518fde8ff9111228f0a4671037e2be0c9041dfe87390d66cca48f19d41e6;10007866;Sao Paulo;"";UK
6455a57534217ce41f4bde96fcf71ab1cc4d4733d28f0cd77a48e15a0533bf68;10026299;Dallas;TX;US
a760ad18e862f65e84954a32136a6114237fef25092e9b0a2c7c0c885036c6d5;10023780;Asuncion;"";UK
909b80cce74e407071a7c7078451f1fe9006974e62ff282df3dbf57fb635691e;10011981;Missoula;MT;US
b61938c159628882fdee0d1dbfebbc9cc662f392c827c3ab60591c5789912f03;10009907;Elizabethtown;KY;US
026c7b1f987f762c1336b2069b55a253d20af5270f0d9f405534c05efac58531;10006093;Evansville;IN;US
7499e5e4ab4c7dfc12e232aee6d574966fc7e6540267d71d0e9b0fc8074d8867;10010717;Waterville;KS;US
7bf235f55ed65005ea003d9c319b32e05c8afefd510206a72f897c0551b63736;10027575;Dallas;TX;US
8347d62fe9c43ca8a967d9d3270dcfd1455d22ea3eb58d3e76653acb6c91da26;10021977;Overland Park;KS;US
dc1bd452d33b73d0041efd5e5442361be082bc3a2e245df00dd9d23e567f2f16;10022730;Warren;MI;US
c06524ce1272fa53fff514cf505964cbc6705e5b90588a699e27bf29978c0fd2;10025291;Dover;OH;US
93608b2abd9b5f31c7bd67fb8aab3796a65f3e8fc44d30ebb6b9dd5bb0cde38d;10025583;Nesquehoning;PA;US
a5bcd64e16a8b56a5f3c1d1c37d7f908cfe603f8bed78e5a426af72d67ab007d;10021223;Wayne;MI;US
9ef5620c302d59271b32a89a334a9595fbb698a7877098d27fdb8199d34cf949;10025571;Des Moines;IA;US
912e0dc54623927bc7dc62fb25aa8347da00f348d9cf25de96df7dba1a1bf6e5;10009672;Phoenix;AZ;US
e6b451f0afb2c77554e55ab0a7b842bbc5912e7c183d08088e07f8c0881b829c;10009660;Augusta;GA;US
39e9b28514d8474d890e4167129212a38b9e9ca6d88983934d8fe70d7c2bd995;10025919;Compton;CA;US
cb9807641cf4a10a48421fe9e96f0a40f1862c0e23131456c3c91f91cabe65d2;10022240;Mississauga;ON;CA
b0f671119c57b69e13b67672e33495e15e38458d5628bcd7904b05dc64aa38bc;10014471;Calgary;AB;CA
ffcf880c4abf823540443a61225f2747c3ebcf439dcf065856a4b2441452fd33;10016542;Greenville;SC;US
5f5a9eca05085ce72e520e739ccbad2547eea5fe750ddbae5fe9445df135a0ba;10020413;Okarche;OK;US
5b56f819f9ebfc1020f933062e3aa661ab7fd532eefac2f9f2f66e6139f2186b;10023235;Houston;TX;US
6e59e14b0b48197576737a1647ac8159757060bdb77f34e4453049a837f8ba4e;10009606;Kilsyth;"";UK
8c0f0d3b9d5655300dd65a3a20e66ceb7ae1b111c2928bb87bd9545652b06b8a;10024022;Irvine;CA;US
ccad8fec43c8854c770e61f352aac25e5610ec6e6911ace1a074e1f06259a8b9;10009697;Orlando;FL;US
5c25a906f9e084b10d3df20bded2d2a8489103ab12a2a1f4cfd0e9bb93a0b782;10025023;Saskatoon;SK;CA
3cafa9be7c936575b96d624e45b254c8e8495a6b3e6690a407d9b4f8600fb106;10026861;Salt Lake City;UT;US
8a6010f7d0202c01fa0427bd10aad21c9a42ea794948802fb6ea2ea8da521e0e;10025036;Kansas City;MO;US
f0ef5b478e87360b2eaf4efb565a5122a7139c7430422150e8f2199aac16596a;10012235;Winnipeg;MB;CA
ff4e56de15d602e242110399d6b68dc178666e36e82fed8ec11e740a44face27;10016609;Winnepeg;MB;CA
e4ab161d80e8f6c382e48d3b8d376daef8eb959e31264825402e32822a46c087;10016807;Overland Park;KS;US
0d93e0ef43441223554f93968fb85baf13a24deb03fd652b9eea551b4af2ae4a;10017576;New Orleans;LA;US
0777609d8e0e3ac063b00f5f3074f9b859b55cc2fdb1d4f5b09b2b4a92400cb7;10018146;Fort Macleod;AB;CA
857396a9d871dd60d1328c7068a2d87f9187a33d595738d6161de79cb1ff29a6;10021158;Surrey;BC;CA
354b0960b0d68bdad147794960ed67b9c680774bb8b797eb47c5c2ce2e0b78f1;10026006;Calgary;AB;CA
8e9e7fffc6e2020173239646feab9ad30c56e20d07002a4fc1cf8b673d14ab23;10022431;Vinton;VA;US
6da063becabcdcdb5514fc42165128e85b6b7334a11e85fb8b1f4041dca41253;10020907;\"\";"";UK
d5db08c35a136bfd5846c0f47321108154144558f0c855a1f71dc1093309e54d;10027560;Odessa;TX;US
5ffd05a462d2c9908f276c7ee2ec761f87d7516579004ad2067563b804322122;10000478;Little Rock;AR;US
e1d9b8155a7fdd7aef70a42cab5292a07d47f00acd8a1240a03aab4d1472295c;10009356;Cape Girardeau;MO;US
7a7376fe08e0e8d81da0bff246897b9f9cbd8184a2000221f57802ce2e4d52de;10009654;Brownsville;TX;US
2cf4eb2bd0f8724e9cff198592a8a90503487a287b8869b078871c55366eb342;10021175;Johnson City;TN;US
3bcff7ceac419b78ba874b8aa22f90c32e16e059b19ed194f2e368eafa513246;10025287;Brookfield;WI;US
69f28526abd5a74c30f8e93272835feb5ececc0ec542e6609b9375dc789a7381;10014533;Aurora;IL;US
350f293b1ade5502f204264619f74dfa64b4209a4142617da84defa1358e6943;10003795;Baton Rouge;LA;US
e7ab4b2272da9a0f44ed2c6493b9f761db41ab0d6bbe88430d4515dbd681fa56;10018867;Flint;MI;US
545e5d6f387a3e14829798a8b35e7373dd01516ae767ff8f4d1c3576bf632944;10024999;Andover;SD;US
9f4d6b33f77d4d2d13f9b59b55a62749535cc1656d1bc99b655b259ebabc5418;10025549;Shady Grove;PA;US
39442116084a338e53e01092a375eec925a633918be8c4bb1dff55bac414d8da;10014043;Guadalajara Jal Mexico;"";IR
201cbabf12916e4d4090b24ed3f21c908e88b2cab52a1e6e55ec3e30fc624622;10009662;West Point;PA;US
10e06cff36df3ee83ccbe652c5130b30ccba4878e74d9a8c76979661ca2a195a;10021203;Costa Mesa;CA;US
ffaeacb3c05171d450410242ae890a6f7b914e7b990ae6205b3c24aac16879f9;10000453;\"\";"";UK
b39063df1a2c8805dd79a5bb73efc4ebe161ad65b597508d29cb986efac89c12;10027381;Tumwater;WA;US
aeae3d92ed542af78e6143abda20305b441a66d61f2ac5b276abf827fc799f84;10016334;Overland Park;KS;US
fdae687028378f8a91d06307c831bed79ed30b0b865ad5fd41b8c93c55fa058b;10019617;Spring;TX;US
1ef2bff2d15a67b22a232c158f4af8faf777ef41089e408d57b1d4b7acc0bc5f;10022978;\"\";"";UK
8875356408569c88178772c74e97403139cba4c8343d490240064e768a832e34;10019942;New Castle;IN;US
008af907f90ecfe67f5aece7ad97e5c1815d10e4709fbcec4448b49822d87c1f;10009643;Flint;MI;US
de004a75e531658bb8a41fabae864169a49312968632b82b651c1b6b11861402;10000469;Montreal;QU;CA
6046602bc6c28cd5c28b8e4c04df905abe4ef5b014d87569d51c04e3e9ea9972;10026606;Dearborn;MI;US
747145be32c3a64d9b04160fcde7725e2ffa35d015fe33abdf2c1a7ef5949383;10025238;San Diego;CA;US
fdac79561b5b2dd324ad9707a315c49abbb639398ee221adacff956c7e4bea3c;10025051;Anchorage;AK;US
d9060bab69265e5fe988cff90411a37fc29ee0a78d5864b7e5ad282e0a3add72;10025299;Montreal;QU;CA
d2ae1db88e40ba0d136acccfa9c94406cadb407f79037e2645ced8fc9e65e519;10021179;El Cajon;CA;US
5152400171d2e11fe262130a03cf61c70e125950b0c93c3d55f87056ae53bb29;10018868;\"\";"";AU
27e2119e81569040ec4e39b457b100aafbc83075f2de8e5750a5c8998426129f;10009642;Joliet;IL;US
6984001acca25ab711e520bd07d6e4aa8a72868428df0fc0c49d99751fe559d9;10013509;Joliet;IL;US
bcd576d24e9b3f90c042e362631fe74efcb37563cf7ba11210f7f940aedef219;10026843;Tulare;CA;US
1120969a3f4a314938ae197ca95d32cefa0febb5af8a170406c9b6e110a37842;10019913;Calgary;AB;CA
a1429b6470e0910788aa331b92cce7f7fed163c69617fb997e0ce7a4983d8db0;10010912;Fort Smith;AR;US
bdb472ee0a2d12cbe9642f6a404d216e4a3c195a3c4fe83c739a5c245cb9dada;10019150;Jacksonville;FL;US
743652a50a502f9d24f67ed6638c947c8cf64f28cc7645466ccd2055dc36d9db;10021415;Indianopolis;IN;US
ef12adcb7ca24f5c29eec0cf4a2817ed4ec8c1e5342a5b19cfc12c083ac2626c;10000475;Charlotte;NC;US
caf502de394c6e280eccbe70375784f31732b8e34bc4d95fdb57772f1c416834;10025246;Winnepeg;MB;CA
0893fb69ae362daa66b1eccee30c59e4ab4bfae2a7e57c1f5019d6a64d634315;10013252;Irving;TX;US
5ebbec614b3bfef832eb86158390bd5ef889ac613404344545d29bad0cbefa85;10025040;San Antonio;TX;US
b1eb46517f9082064f6815abcef0fba9d9f023e0c2592ba78f8d9ccf077083bd;10010970;Irving;TX;US
9951c1f846b4d87dd060fb16ad14f1995cc8ecfaf50cdc25ff00160d87f77ac5;10025778;Pomona;CA;US
4a39687b14ba3995df61ebc8ddbefdca1a88890f024d9e7f4ff15700de598247;10017585;Milwaukie;WI;US
8efa0d6fcb5cb46205e7bfa6e286dd20948f1ba9c0d85638b5cf9ea9b0d0f071;10023778;Hillsboro;OR;US
678e0a1776015a0872c1b708c35a8ff85c5a87d54e50cd13f872714c037ef836;10018665;Wester Chester;PA;US
97862bd3d7f925c36cbab62d594dc06ef2fd7b7d026e4fb9141819cc4f9bb653;10025239;\"\";"";UK
5b892eb31c909440dddca94d3e01213b5c44a4dd1035f013cdceb47a11d75f18;10009985;West Jordan;UT;US
cb7c53d266a975487570456f638b063b60272f1f76688db09ba8e0530b558af5;10021911;Tupelo;MS;US
cf9fb296f80152eb7e75d10c570350350c1048c119da2fb46a52cd4469f2482b;10004302;Baton Rouge;LA;US
0f3c064e2c476e83060d956615bbb892727972e91e8ecc3b213be4d5ecfbb6ff;10022252;Crestwood;IL;US
64f4bf57a7a7ff44b2af90b9d4907df31f05e08fc26c1ca6ce101de3fa561e95;10025771;Waldorf;MD;US
7c2315fdaa90dff25c7d5a620f128119bacbe3d7a14b481ad28123db6b5ffc45;10023759;Birmingham;AL;US
6c95c9fe3b682f0e8abcc3f09ba944b0bd928ccae17817668f063f4ea52d7a7c;10027356;Grand Rapids;MN;US
95b3323e8665fb6ba21cc5d45bfb4b8c02da8df0576cb41b8012537f8d9beac5;10024010;Mitchell;SD;US
2a77d973b8eefff8362e19f5d617d10aee85e786e86aa71cea601c77671acabd;10025300;West Sayville;NY;US
61edd5d23c3106465dc8c4d35e9285d219b122cd95bd01e64bb878e59e3b7b70;10024034;Edmonton;AB;CA
3b7bd43ed6d71b27cc9a045f4c0c2bafaabfb8c35738e2288403985e8b6a3a75;10007121;St Louis Park;MN;US
a742cdbe68f1e59a07c36e1729f9a5946f98f05f5b9e28172bf01ff8b45833b4;10011734;Atlanta;GA;US
a29993e73fd04302e73fb51d65667822b519f8bd9eb92ff712793ab11970e8c1;10025508;Moncton;NB;CA
6172683ce23c87cde3181cef5d549498430e0ff50bed6bf004c34ffba492e101;10027583;Morton;IL;US
4ff07cdf572ce4205289ae3deb0407271e5fad4ff523a3744c97cfea230f116b;10000462;Hazelwood;MO;US
f1c72708d1118664cfc11b86616e382f6d26d2d3e508b1368c2cbd9bbb8dfbdc;10017638;Roanoke;VA;US
5d0ab2afafbf3087a1ec451b6a349b1103bfd97b9a9eddde375ca63cf397f8fa;10023244;Cleveland;MS;US
e693597d6a3391833fc8727f092fdb0ad3d275c08008e47a225a5eae177ba577;10026268;Surrey;BC;CA
db14fe16c583a7780073dfc27631db516d95b2cf88d1b6bc8229d65db5e31645;10021418;Wheatridge;CO;US
e6aa0a2d1dd9ce0bdac58157ee9468c6736c4b18bc8fcebf5b4f39ec11371361;10026521;Quezon City;"";IR
674092ac4e00dd64e618ce0f42d62228500a3081d3b8dcaba3b92bd55e1fb063;10017314;El Paso;TX;US
f958d42053e01108e207ff8bcbbfd6778bc514e4729727463746389a596dc7cb;10011724;Ingersoll;ON;CA
7dce68d69afe006bbc0ebae7e789e33aa2eeba740b198e1e6b93e55404911063;10027050;Milwaukie;WI;US
9bf02d729b07ffdd975068e88851f07c7194fee7528b9fc2a8f24d954921406a;10023793;Holden;LA;US
7dad1770a282d6848b6ec930754ddd00f7c35467dcd8dbb73c4e846fd985b89b;10011979;4100 Porto;"";UK
f8e0d63f08e6cbad4e2b9b043c47d1e0c6d30b915095575cbe89928a808412d3;10000458;Saginaw;MI;US
5234dc8ca54fd8c1ba6a40566658ac509d99ba5c123f663a9b006137fb394a4f;10008602;Wells;ME;US
be4e27bcb7e93117778ea4b6504019cb1b695abe8a8baddb492c54346ee9258d;10002969;Manassas;VA;US
a59b5bc1b4ecf21d924f28d11c66096e9576511dc0fd4ba39608935ad6594884;10026560;Dearborn;MI;US
00d54981316ac07a1b51aa306015590c8ee4433c1e68598e5ba4c725c4a0d826;10026009;\"\";"";AU
bbc0103539bacdfd91bee40a8b15f3fc1c7fad69ae5332fdcb57a2e0a045f399;10013238;Janesville;WI;US
5533c7a7b409731cc5d28663fb678f2f20ce83499eb7ec2883e3901bdf9be9ed;10020184;Smyrna;TN;US
